Title,Author,amz_rating,amz_reviews,gr_rating,gr_reviews,price,Year,Genre,genre_1,num_pages
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.7,18979,3.95,8092,15,2018,Non Fiction,Nonfiction,409
"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,4.7,5983,4.15,5043,3,2018,Non Fiction,Nonfiction,290
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,4.6,5013,3.81,2861,17,2009,Non Fiction,Nonfiction,232
Alexander Hamilton,Ron Chernow,4.8,9198,4.22,7541,13,2016,Non Fiction,History,818
All the Light We Cannot See,Anthony Doerr,4.6,36348,4.33,73648,14,2014,Fiction,Historical-Historical Fiction,531
All the Light We Cannot See,Anthony Doerr,4.6,36348,4.33,73648,14,2015,Fiction,Historical-Historical Fiction,531
Allegiant,Veronica Roth,3.9,6310,3.63,65371,13,2013,Fiction,Young Adult,526
American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris Kyle,4.6,15921,4,7920,9,2015,Non Fiction,Nonfiction,528
And the Mountains Echoed,Khaled Hosseini,4.3,12159,4.06,27720,13,2013,Fiction,Fiction,404
Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.7,9374,4.09,10914,9,2017,Non Fiction,Nonfiction,224
Becoming,Michelle Obama,4.8,61133,4.55,44500,11,2018,Non Fiction,Nonfiction,426
Becoming,Michelle Obama,4.8,61133,4.55,44500,11,2019,Non Fiction,Nonfiction,426
Being Mortal: Medicine and What Matters in the End,Atul Gawande,4.8,11113,4.45,14561,15,2015,Non Fiction,Nonfiction,282
Between the World and Me,Ta-Nehisi Coates,4.7,10070,4.39,20556,13,2015,Non Fiction,Nonfiction,152
Between the World and Me,Ta-Nehisi Coates,4.7,10070,4.39,20556,13,2016,Non Fiction,Nonfiction,152
Born to Run,Bruce Springsteen,4.7,3729,4.18,326,18,2016,Non Fiction,Animals,251
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,4.21,3563,5,2017,Fiction,Childrens-Picture Books,24
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,14344,4.21,3563,5,2019,Fiction,Childrens-Picture Books,24
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8,16244,4.44,3877,18,2019,Non Fiction,Nonfiction,366
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,4.16,3537,14,2009,Non Fiction,Christian,187
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,4.16,3537,14,2010,Non Fiction,Christian,187
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,1542,4.16,3537,14,2011,Non Fiction,Christian,187
Cutting for Stone,Abraham Verghese,4.6,4866,4.29,25221,11,2010,Fiction,Fiction,541
